,Datas,Berlim
810,2022/06/17,2565.0
811,2022/06/21,3275.0
812,2022/06/22,3786.0
813,2022/06/23,2885.0
814,2022/06/24,3122.0
815,2022/06/28,3193.0
816,2022/06/29,3431.0
817,2022/06/30,4782.0
818,2022/07/01,2817.0
819,2022/07/05,4219.0
820,2022/07/06,4499.0
821,2022/07/07,3501.0
822,2022/07/08,3029.0
823,2022/07/12,3713.0
824,2022/07/13,4131.0
825,2022/07/14,3897.0
826,2022/07/15,3325.0
827,2022/07/19,3347.0
828,2022/07/20,3514.0
829,2022/07/21,2850.0
830,2022/07/22,2449.0
831,2022/07/26,3620.0
832,2022/07/27,3057.0
